tax	AnaholaK-F5	AnaholaK-F6	Dennisom2b1	Dennisom3d1	Hanalei_spiritsK-H1	Hanalei_spiritsK-H2	Hanalei_spiritsK-H3	Hanalei_spiritsK-H4	Mac_nutsK-I1	Mac_nutsK-I2	Mac_nutsK-I3	Torintinos1	Torintinos2	Torintinos3	TorintinosWild	Waikele40	Waikele41	helieva161	helieva190	old_houseK-G1	punaluu1	punaluu2	punaluu3	total
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Dysgonomonas;Dysgonomonas hofstadii	1	0	6	1	0	2	1	5	3	8	0	0	0	0	0	0	0	0	0	2	0	0	0	29
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Dysgonomonas;Dysgonomonas massiliensis	0	0	0	2	0	4	4	3	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	28
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium coryneforme	1	3	1	7	0	0	0	0	1	1	0	0	0	1	0	0	1	0	8	1	0	0	0	25
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Dysgonomonas;Dysgonomonas mossii	1	0	2	0	0	1	2	2	3	13	0	0	0	0	0	0	0	0	0	0	0	0	0	24
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Orbales;Orbaceae;Orbus;Orbus hercynius	0	2	0	7	0	0	0	0	1	2	0	0	0	0	0	1	0	0	2	0	0	0	3	18
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Orbales;Orbaceae;Orbus;Orbus sasakiae	0	0	0	2	0	0	1	2	1	1	0	0	0	2	0	1	1	0	1	0	0	0	6	18
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Bombilactobacillus;Bombilactobacillus thymidiniphilus	2	1	0	1	0	1	0	2	0	2	0	1	0	0	0	0	2	0	5	0	0	0	1	18
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Uruburuella;Uruburuella suis	0	1	0	1	2	0	0	5	0	1	0	0	0	2	0	0	0	1	1	0	0	0	3	17
Viruses;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae;Theiavirus;Theiavirus salishense	0	2	0	1	1	2	0	0	0	2	0	0	0	1	0	0	1	2	0	4	0	0	0	16
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides gordonii	0	0	0	0	0	2	1	1	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	13
